ds,unique_id,y
2018-01-01,0101,0
2018-02-01,0101,20
2018-03-01,0101,1
2018-04-01,0101,40
2018-05-01,0101,6
2018-06-01,0101,70
2018-07-01,0101,42
2018-08-01,0101,12
2018-09-01,0101,79
2018-10-01,0101,38
2018-11-01,0101,44
2018-12-01,0101,44
2019-01-01,0101,3
2019-02-01,0101,0
2019-03-01,0101,7
2019-04-01,0101,4
2019-05-01,0101,4
2019-06-01,0101,4
2019-07-01,0101,4
2019-08-01,0101,4
2019-09-01,0101,4
2019-10-01,0101,4
2019-11-01,0101,0
2019-12-01,0101,4
2020-01-01,0101,4
2020-02-01,0101,4
2020-03-01,0101,4
2020-04-01,0101,0
2020-05-01,0101,0
2020-06-01,0101,4
2020-07-01,0101,0
2020-08-01,0101,0
2020-09-01,0101,4
2020-10-01,0101,0
2020-11-01,0101,0
2020-12-01,0101,4
2021-01-01,0101,4
2021-02-01,0101,4
2021-03-01,0101,0
2021-04-01,0101,1
2021-05-01,0101,2
2021-06-01,0101,0
2021-07-01,0101,3
2021-08-01,0101,0
2021-09-01,0101,1
2021-10-01,0101,2
2021-11-01,0101,0
2021-12-01,0101,14
2022-01-01,0101,0
2022-02-01,0101,0
2022-03-01,0101,14
2022-04-01,0101,7
2022-05-01,0101,8
2022-06-01,0101,7
2022-07-01,0101,7
2022-08-01,0101,7
2022-09-01,0101,7
2022-10-01,0101,7
2022-11-01,0101,136
2022-12-01,0101,142
2023-01-01,0101,148
2023-02-01,0101,151
2023-03-01,0101,5
2023-04-01,0101,241
2023-05-01,0101,340
2023-06-01,0101,266
2023-07-01,0101,247
2023-08-01,0101,378
2023-09-01,0101,248
2018-01-01,0102,0
2018-02-01,0102,0
2018-03-01,0102,0
2018-04-01,0102,0
2018-05-01,0102,0
2018-06-01,0102,0
2018-07-01,0102,0
2018-08-01,0102,0
2018-09-01,0102,0
2018-10-01,0102,0
2018-11-01,0102,0
2018-12-01,0102,0
2019-01-01,0102,0
2019-02-01,0102,0
2019-03-01,0102,0
2019-04-01,0102,0
2019-05-01,0102,0
2019-06-01,0102,0
2019-07-01,0102,0
2019-08-01,0102,0
2019-09-01,0102,0
2019-10-01,0102,0
2019-11-01,0102,0
2019-12-01,0102,0
2020-01-01,0102,0
2020-02-01,0102,0
2020-03-01,0102,0
2020-04-01,0102,0
2020-05-01,0102,0
2020-06-01,0102,0
2020-07-01,0102,0
2020-08-01,0102,0
2020-09-01,0102,0
2020-10-01,0102,0
2020-11-01,0102,0
2020-12-01,0102,0
